,generation,co2,intensity,hydro,solar,wind,SUN_ext,WND_ext,D_ext,Wramp
generation,1.0,0.9961923342022323,-0.7398881509917067,-0.030223688337636417,-0.04642327149346833,-0.004742133162536607,-0.05438665236172714,0.004865488855290711,0.024587316228351933,0.0007018226604385799
co2,0.9961923342022323,1.0,-0.678420455807586,-0.02482420668572597,-0.04780486560421092,-0.005060471051093781,-0.05706818556312683,0.003978234580870278,0.028064902032953816,0.0016512634619125076
intensity,-0.7398881509917067,-0.678420455807586,1.0,0.06313826053098431,0.0223232390705516,0.0009129223066016654,0.01795053313800328,-0.010303300173850142,0.009364698695856368,0.006827537458919665
hydro,-0.030223688337636417,-0.02482420668572597,0.06313826053098431,1.0,0.18349352613918854,0.21850042104567569,0.15084080338050776,-0.08240632592421857,0.2982413215146201,0.22071969328317137
solar,-0.04642327149346833,-0.04780486560421092,0.0223232390705516,0.18349352613918854,1.0,0.37904231206362865,0.9045914422253484,0.25425721167364007,0.27669141163521344,0.31788682749852554
wind,-0.004742133162536607,-0.005060471051093781,0.0009129223066016654,0.21850042104567569,0.37904231206362865,1.0,0.38966510251112846,0.38935388418742156,0.22579878281014693,0.8243552417346418
SUN_ext,-0.05438665236172714,-0.05706818556312683,0.01795053313800328,0.15084080338050776,0.9045914422253484,0.38966510251112846,1.0,0.24461983217442224,0.26100185182068814,0.30315663868322623
WND_ext,0.004865488855290711,0.003978234580870278,-0.010303300173850142,-0.08240632592421857,0.25425721167364007,0.38935388418742156,0.24461983217442224,1.0,0.03367331528683571,0.33073206429374835
D_ext,0.024587316228351933,0.028064902032953816,0.009364698695856368,0.2982413215146201,0.27669141163521344,0.22579878281014693,0.26100185182068814,0.03367331528683571,1.0,0.23765457283911237
Wramp,0.0007018226604385799,0.0016512634619125076,0.006827537458919665,0.22071969328317137,0.31788682749852554,0.8243552417346418,0.30315663868322623,0.33073206429374835,0.23765457283911237,1.0
