,generation,co2,intensity,hydro,solar,wind,SUN_ext,WND_ext,D_ext,Wramp
generation,1.0,0.9684914269903946,-0.17304635115219472,0.03433432372451145,-0.01906903776500438,-0.07630635334250284,0.009907929493379876,-0.06517466915239097,0.06620298236677194,-0.029385480967759392
co2,0.9684914269903946,1.0,0.07769578657694179,0.03040280408723647,-0.020418142313205025,-0.06850640681466888,0.006506617659287236,-0.059369822275540274,0.060506467578162804,-0.02997404993308148
intensity,-0.17304635115219472,0.07769578657694179,1.0,-0.017211205361734278,-0.004411673118741489,0.034542854042125815,-0.013931200364082328,0.026113569041760192,-0.02573495452575386,-0.0009042468961601634
hydro,0.03433432372451145,0.03040280408723647,-0.017211205361734278,1.0,-0.21057064186300342,-0.1965857639133439,0.10575619667009177,-0.2904452221893206,0.07886765751999154,-0.14077391007424217
solar,-0.01906903776500438,-0.020418142313205025,-0.004411673118741489,-0.21057064186300342,1.0,0.18466809030000353,0.5093907763559159,0.23054814530445622,0.1683820661463972,0.4926105997631155
wind,-0.07630635334250284,-0.06850640681466888,0.034542854042125815,-0.1965857639133439,0.18466809030000353,1.0,-0.017638761154112285,0.6628481676415988,-0.07003755170789044,0.362000435925083
SUN_ext,0.009907929493379876,0.006506617659287236,-0.013931200364082328,0.10575619667009177,0.5093907763559159,-0.017638761154112285,1.0,0.05111108714049912,0.12016655102781344,0.22291443753355294
WND_ext,-0.06517466915239097,-0.059369822275540274,0.026113569041760192,-0.2904452221893206,0.23054814530445622,0.6628481676415988,0.05111108714049912,1.0,-0.08950057104133391,0.26078021837650717
D_ext,0.06620298236677194,0.060506467578162804,-0.02573495452575386,0.07886765751999154,0.1683820661463972,-0.07003755170789044,0.12016655102781344,-0.08950057104133391,1.0,0.04841807952833089
Wramp,-0.029385480967759392,-0.02997404993308148,-0.0009042468961601634,-0.14077391007424217,0.4926105997631155,0.362000435925083,0.22291443753355294,0.26078021837650717,0.04841807952833089,1.0
