Marginal_Increase_Percent,Solar_Intensity_Change_Percent,Wind_Intensity_Change_Percent
0.0,0.0,0.0
1.0,0.02,0.01
2.0,0.04,0.02
3.0,0.06,0.03
4.0,0.08,0.04
5.0,0.1,0.05
6.0,0.12,0.06
7.0,0.14,0.07
8.0,0.16,0.08
9.0,0.18,0.09
10.0,0.2,0.1
11.0,0.22,0.11
12.0,0.24,0.12
13.0,0.26,0.13
14.0,0.28,0.14
15.0,0.3,0.15
16.0,0.32,0.16
17.0,0.34,0.17
18.0,0.36,0.18
19.0,0.38,0.19
20.0,0.4,0.2
21.0,0.42,0.21
22.0,0.44,0.22
23.0,0.45999999999999996,0.22999999999999998
24.0,0.48,0.24
25.0,0.5,0.25
26.0,0.52,0.26
27.0,0.54,0.27
28.0,0.56,0.28
29.0,0.58,0.29
30.0,0.6,0.3
31.0,0.62,0.31
32.0,0.64,0.32
33.0,0.66,0.33
34.0,0.68,0.34
35.0,0.7,0.35
36.0,0.72,0.36
37.0,0.74,0.37
38.0,0.76,0.38
39.0,0.78,0.39
40.0,0.8,0.4
41.0,0.8199999999999998,0.4099999999999999
42.0,0.84,0.42
43.0,0.86,0.43
44.0,0.88,0.44
45.0,0.9000000000000001,0.45000000000000007
46.0,0.9199999999999999,0.45999999999999996
47.0,0.9400000000000001,0.47000000000000003
48.0,0.96,0.48
49.0,0.98,0.49
50.0,1.0,0.5
51.0,1.02,0.51
52.0,1.04,0.52
53.0,1.06,0.53
54.0,1.08,0.54
55.0,1.1,0.55
56.0,1.12,0.56
57.0,1.14,0.57
58.0,1.16,0.58
59.0,1.18,0.59
60.0,1.2,0.6
61.0,1.22,0.61
62.0,1.24,0.62
63.0,1.26,0.63
64.0,1.28,0.64
65.0,1.3,0.65
66.0,1.32,0.66
67.0,1.34,0.67
68.0,1.36,0.68
69.0,1.38,0.69
70.0,1.4,0.7
71.0,1.42,0.71
72.0,1.44,0.72
73.0,1.46,0.73
74.0,1.48,0.74
75.0,1.5,0.75
76.0,1.52,0.76
77.0,1.54,0.77
78.0,1.56,0.78
79.0,1.58,0.79
80.0,1.6,0.8
81.0,1.6200000000000003,0.8100000000000002
82.0,1.6399999999999997,0.8199999999999998
83.0,1.66,0.83
84.0,1.68,0.84
85.0,1.7000000000000002,0.8500000000000001
86.0,1.72,0.86
87.0,1.7399999999999998,0.8699999999999999
88.0,1.76,0.88
89.0,1.78,0.89
90.0,1.8000000000000003,0.9000000000000001
91.0,1.82,0.91
92.0,1.8399999999999999,0.9199999999999999
93.0,1.86,0.93
94.0,1.8800000000000001,0.9400000000000001
95.0,1.9,0.95
96.0,1.92,0.96
97.0,1.94,0.97
98.0,1.96,0.98
99.0,1.9800000000000002,0.9900000000000001
100.0,2.0,1.0
