Marginal_Increase_Percent,CAISO_Solar_Intensity_Change_Percent,CAISO_Wind_Intensity_Change_Percent,ERCOT_Solar_Intensity_Change_Percent,ERCOT_Wind_Intensity_Change_Percent
0.0,0.0,0.0,0.0,0.0
1.0,0.02,0.01,0.0004000000000000001,0.02
2.0,0.04,0.02,0.0008000000000000001,0.04
3.0,0.06,0.03,0.0012000000000000001,0.06
4.0,0.08,0.04,0.0016000000000000003,0.08
5.0,0.1,0.05,0.002,0.1
6.0,0.12,0.06,0.0024000000000000002,0.12
7.0,0.14,0.07,0.0028000000000000004,0.14
8.0,0.16,0.08,0.0032000000000000006,0.16
9.0,0.18,0.09,0.0036,0.18
10.0,0.2,0.1,0.004,0.2
11.0,0.22,0.11,0.0044,0.22
12.0,0.24,0.12,0.0048000000000000004,0.24
13.0,0.26,0.13,0.005200000000000001,0.26
14.0,0.28,0.14,0.005600000000000001,0.28
15.0,0.3,0.15,0.006,0.3
16.0,0.32,0.16,0.006400000000000001,0.32
17.0,0.34,0.17,0.006800000000000001,0.34
18.0,0.36,0.18,0.0072,0.36
19.0,0.38,0.19,0.007600000000000001,0.38
20.0,0.4,0.2,0.008,0.4
21.0,0.42,0.21,0.0084,0.42
22.0,0.44,0.22,0.0088,0.44
23.0,0.45999999999999996,0.22999999999999998,0.009200000000000002,0.45999999999999996
24.0,0.48,0.24,0.009600000000000001,0.48
25.0,0.5,0.25,0.01,0.5
26.0,0.52,0.26,0.010400000000000001,0.52
27.0,0.54,0.27,0.0108,0.54
28.0,0.56,0.28,0.011200000000000002,0.56
29.0,0.58,0.29,0.0116,0.58
30.0,0.6,0.3,0.012,0.6
31.0,0.62,0.31,0.012400000000000001,0.62
32.0,0.64,0.32,0.012800000000000002,0.64
33.0,0.66,0.33,0.013200000000000002,0.66
34.0,0.68,0.34,0.013600000000000003,0.68
35.0,0.7,0.35,0.013999999999999999,0.7
36.0,0.72,0.36,0.0144,0.72
37.0,0.74,0.37,0.014799999999999999,0.74
38.0,0.76,0.38,0.015200000000000002,0.76
39.0,0.78,0.39,0.015600000000000003,0.78
40.0,0.8,0.4,0.016,0.8
41.0,0.8199999999999998,0.4099999999999999,0.0164,0.8199999999999998
42.0,0.84,0.42,0.0168,0.84
43.0,0.86,0.43,0.0172,0.86
44.0,0.88,0.44,0.0176,0.88
45.0,0.9000000000000001,0.45000000000000007,0.018000000000000002,0.9000000000000001
46.0,0.9199999999999999,0.45999999999999996,0.018400000000000003,0.9199999999999999
47.0,0.9400000000000001,0.47000000000000003,0.018799999999999997,0.9400000000000001
48.0,0.96,0.48,0.019200000000000002,0.96
49.0,0.98,0.49,0.0196,0.98
50.0,1.0,0.5,0.02,1.0
51.0,1.02,0.51,0.0204,1.02
52.0,1.04,0.52,0.020800000000000003,1.04
53.0,1.06,0.53,0.021200000000000004,1.06
54.0,1.08,0.54,0.0216,1.08
55.0,1.1,0.55,0.022000000000000002,1.1
56.0,1.12,0.56,0.022400000000000003,1.12
57.0,1.14,0.57,0.022799999999999997,1.14
58.0,1.16,0.58,0.0232,1.16
59.0,1.18,0.59,0.0236,1.18
60.0,1.2,0.6,0.024,1.2
61.0,1.22,0.61,0.024399999999999998,1.22
62.0,1.24,0.62,0.024800000000000003,1.24
63.0,1.26,0.63,0.0252,1.26
64.0,1.28,0.64,0.025600000000000005,1.28
65.0,1.3,0.65,0.026000000000000002,1.3
66.0,1.32,0.66,0.026400000000000003,1.32
67.0,1.34,0.67,0.0268,1.34
68.0,1.36,0.68,0.027200000000000005,1.36
69.0,1.38,0.69,0.0276,1.38
70.0,1.4,0.7,0.027999999999999997,1.4
71.0,1.42,0.71,0.0284,1.42
72.0,1.44,0.72,0.0288,1.44
73.0,1.46,0.73,0.0292,1.46
74.0,1.48,0.74,0.029599999999999998,1.48
75.0,1.5,0.75,0.030000000000000002,1.5
76.0,1.52,0.76,0.030400000000000003,1.52
77.0,1.54,0.77,0.0308,1.54
78.0,1.56,0.78,0.031200000000000006,1.56
79.0,1.58,0.79,0.0316,1.58
80.0,1.6,0.8,0.032,1.6
81.0,1.6200000000000003,0.8100000000000002,0.0324,1.6200000000000003
82.0,1.6399999999999997,0.8199999999999998,0.0328,1.6399999999999997
83.0,1.66,0.83,0.0332,1.66
84.0,1.68,0.84,0.0336,1.68
85.0,1.7000000000000002,0.8500000000000001,0.034,1.7000000000000002
86.0,1.72,0.86,0.0344,1.72
87.0,1.7399999999999998,0.8699999999999999,0.0348,1.7399999999999998
88.0,1.76,0.88,0.0352,1.76
89.0,1.78,0.89,0.03560000000000001,1.78
90.0,1.8000000000000003,0.9000000000000001,0.036000000000000004,1.8000000000000003
91.0,1.82,0.91,0.0364,1.82
92.0,1.8399999999999999,0.9199999999999999,0.036800000000000006,1.8399999999999999
93.0,1.86,0.93,0.037200000000000004,1.86
94.0,1.8800000000000001,0.9400000000000001,0.037599999999999995,1.8800000000000001
95.0,1.9,0.95,0.038,1.9
96.0,1.92,0.96,0.038400000000000004,1.92
97.0,1.94,0.97,0.0388,1.94
98.0,1.96,0.98,0.0392,1.96
99.0,1.9800000000000002,0.9900000000000001,0.0396,1.9800000000000002
100.0,2.0,1.0,0.04,2.0
