Marginal_Increase_Percent,Solar_Intensity_Change_Percent,Wind_Intensity_Change_Percent
0.0,0.0,0.0
1.0,0.0004000000000000001,0.02
2.0,0.0008000000000000001,0.04
3.0,0.0012000000000000001,0.06
4.0,0.0016000000000000003,0.08
5.0,0.002,0.1
6.0,0.0024000000000000002,0.12
7.0,0.0028000000000000004,0.14
8.0,0.0032000000000000006,0.16
9.0,0.0036,0.18
10.0,0.004,0.2
11.0,0.0044,0.22
12.0,0.0048000000000000004,0.24
13.0,0.005200000000000001,0.26
14.0,0.005600000000000001,0.28
15.0,0.006,0.3
16.0,0.006400000000000001,0.32
17.0,0.006800000000000001,0.34
18.0,0.0072,0.36
19.0,0.007600000000000001,0.38
20.0,0.008,0.4
21.0,0.0084,0.42
22.0,0.0088,0.44
23.0,0.009200000000000002,0.45999999999999996
24.0,0.009600000000000001,0.48
25.0,0.01,0.5
26.0,0.010400000000000001,0.52
27.0,0.0108,0.54
28.0,0.011200000000000002,0.56
29.0,0.0116,0.58
30.0,0.012,0.6
31.0,0.012400000000000001,0.62
32.0,0.012800000000000002,0.64
33.0,0.013200000000000002,0.66
34.0,0.013600000000000003,0.68
35.0,0.013999999999999999,0.7
36.0,0.0144,0.72
37.0,0.014799999999999999,0.74
38.0,0.015200000000000002,0.76
39.0,0.015600000000000003,0.78
40.0,0.016,0.8
41.0,0.0164,0.8199999999999998
42.0,0.0168,0.84
43.0,0.0172,0.86
44.0,0.0176,0.88
45.0,0.018000000000000002,0.9000000000000001
46.0,0.018400000000000003,0.9199999999999999
47.0,0.018799999999999997,0.9400000000000001
48.0,0.019200000000000002,0.96
49.0,0.0196,0.98
50.0,0.02,1.0
51.0,0.0204,1.02
52.0,0.020800000000000003,1.04
53.0,0.021200000000000004,1.06
54.0,0.0216,1.08
55.0,0.022000000000000002,1.1
56.0,0.022400000000000003,1.12
57.0,0.022799999999999997,1.14
58.0,0.0232,1.16
59.0,0.0236,1.18
60.0,0.024,1.2
61.0,0.024399999999999998,1.22
62.0,0.024800000000000003,1.24
63.0,0.0252,1.26
64.0,0.025600000000000005,1.28
65.0,0.026000000000000002,1.3
66.0,0.026400000000000003,1.32
67.0,0.0268,1.34
68.0,0.027200000000000005,1.36
69.0,0.0276,1.38
70.0,0.027999999999999997,1.4
71.0,0.0284,1.42
72.0,0.0288,1.44
73.0,0.0292,1.46
74.0,0.029599999999999998,1.48
75.0,0.030000000000000002,1.5
76.0,0.030400000000000003,1.52
77.0,0.0308,1.54
78.0,0.031200000000000006,1.56
79.0,0.0316,1.58
80.0,0.032,1.6
81.0,0.0324,1.6200000000000003
82.0,0.0328,1.6399999999999997
83.0,0.0332,1.66
84.0,0.0336,1.68
85.0,0.034,1.7000000000000002
86.0,0.0344,1.72
87.0,0.0348,1.7399999999999998
88.0,0.0352,1.76
89.0,0.03560000000000001,1.78
90.0,0.036000000000000004,1.8000000000000003
91.0,0.0364,1.82
92.0,0.036800000000000006,1.8399999999999999
93.0,0.037200000000000004,1.86
94.0,0.037599999999999995,1.8800000000000001
95.0,0.038,1.9
96.0,0.038400000000000004,1.92
97.0,0.0388,1.94
98.0,0.0392,1.96
99.0,0.0396,1.9800000000000002
100.0,0.04,2.0
