id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
10298,0.189,0.156,0.017,-0.02,0.004,0.0,-0.011,0.003,0.0,0.002,0.001,0.143,TX,ERCO,ERCOT,29.6225,-95.0458,NG,GAS,0.41924,623.0,Yes,2287995.0,303.192,8.866,1890563.5,14258.609612,0.0001325142755993785,3.875008468112911e-06,0.8262970417330457,Combustion turbine,Generation
298,0.35,1.109,0.057,0.021,0.013,0.126,-0.119,0.01,0.0,0.019,0.005,0.0,TX,ERCO,ERCOT,31.4219,-96.2525,SUB,COAL,0.35276,1849.8,,5716279.0,5027.378,4920.7,6702640.5,11186.471217,0.0008794843638667741,0.0008608222236878221,1.172553071674773,,Generation
3441,0.313,2.515,0.104,-0.052,0.027,0.053,-0.321,0.016,0.0,0.0,0.009,0.974,TX,ERCO,ERCOT,27.819412,-97.419203,NG,GAS,0.14372,942.7,,1186862.0,79.636,2.7,541505.719,7677.263658,6.709794399011848e-05,2.27490643394093e-06,0.4562499422847813,Combined cycle,Generation
3443,0.343,1.047,0.041,0.008,0.01,0.402,-0.1,0.007,0.0,-0.007,0.004,0.073,TX,ERCO,ERCOT,28.7883,-97.01,NG,GAS,0.15071,712.9,,941190.0,68.531,2.2,445582.312,7966.221486,7.281314081110085e-05,2.3374663989205155e-06,0.4734244010242353,Combined cycle,Generation
3453,0.526,4.439,0.139,-0.566,0.185,0.002,-0.21,0.022,0.0,0.033,0.012,0.006,TX,ERCO,ERCOT,32.7231,-96.9358,NG,GAS,0.04714,958.3,,395716.0,171.348,1.3,282593.309,12016.422605,0.0004330075104367779,3.2851843241112313e-06,0.7141316221734779,Dry bottom wall-fired boiler,Generation
3460,0.552,3.887,0.1,0.207,0.039,0.0,-0.264,0.016,0.0,-0.019,0.009,0.024,TX,ERCO,ERCOT,29.75,-94.9256,NG,GAS,0.09492,2295.0,,1908370.0,648.537,6.1,1211289.531,10680.430682,0.0003398381865151936,3.196445133805289e-06,0.6347246765564329,Dry bottom wall-fired boiler,Generation
3470,0.617,1.645,0.028,-0.005,0.007,0.436,-0.149,0.005,0.0,0.003,0.002,0.179,TX,ERCO,ERCOT,29.4828,-95.6311,SUB,COAL,0.30786,4008.4,,10810190.0,3969.795,23865.1,11373985.09,10761.984214,0.00036722712551768286,0.002207648524216503,1.0521540407707912,Dry bottom wall-fired boiler,Generation
3491,0.465,3.752,0.129,0.008,0.036,0.815,-0.22,0.021,0.0,0.005,0.011,0.683,TX,ERCO,ERCOT,32.7283,-97.2192,NG,GAS,0.04515,1433.3,,566912.0,86.814,2.2,427917.195,12701.28587,0.0001531348780763152,3.880672838112441e-06,0.754821197998984,Dry bottom wall-fired boiler,Generation
3548,0.572,3.886,0.063,-0.001,0.021,0.963,-0.313,0.01,0.0,0.006,0.005,0.27,TX,ERCO,ERCOT,30.3033,-97.6128,NG,GAS,0.08361,932.3,,682853.0,627.591,3.509,509941.588,12575.615103,0.0009190718939508211,5.138734105290597e-06,0.7467809147796085,Tangentially-fired,Generation
3601,0.512,5.023,0.099,-0.053,0.053,0.318,-0.435,0.015,0.0,0.006,0.008,0.489,TX,ERCO,ERCOT,30.1456,-97.2708,NG,GAS,0.11857,623.0,,647109.0,500.666,2.1,407490.297,10595.962195,0.0007736965488039882,3.245202894720982e-06,0.6297089006643394,Dry bottom wall-fired boiler,Generation
