Variable,generation_coef,generation_se,co2_coef,co2_se,intensity_coef,intensity_se
residual_demand,2.01***,(0.044),1.91***,(0.040),-0.10***,(0.006)
solar,-0.27***,(0.031),-0.25***,(0.028),0.02***,(0.004)
wind,-0.23***,(0.012),-0.22***,(0.011),0.01***,(0.002)
SUN_ext,0.01,(0.031),0.01,(0.028),-0.00,(0.004)
WND_ext,-0.01*,(0.005),-0.01*,(0.004),0.00**,(0.001)
D_ext,0.05,(0.033),0.05,(0.030),-0.00,(0.005)
Wramp,0.12***,(0.015),0.12***,(0.013),-0.00,(0.002)
generation_rsquared,0.84,,,,,
generation_obs,"44,724.0",,,,,
co2_rsquared,,,0.84,,,
co2_obs,,,"44,724.0",,,
intensity_rsquared,,,,,0.77,
intensity_obs,,,,,"44,724.0",
